Laptop Brand,RAM_GB,Storage,Extracted Processor,Conditions,Prices,Regions,Cluster
3,16.0,1,2,0,12000,4,2
2,8.0,0,1,2,3000,4,0
3,8.0,1,1,2,4100,4,1
2,8.0,0,2,2,2850,4,0
5,4.0,1,1,2,2400,4,1
3,8.0,0,1,2,2200,4,0
3,8.0,0,1,2,2199,4,0
5,16.0,1,3,2,13000,4,1
3,8.0,1,1,2,3700,4,1
3,16.0,1,2,2,6500,4,1
3,8.0,0,1,2,2500,4,0
3,12.0,1,1,2,2400,4,1
0,8.0,1,1,0,12000,4,2
1,16.0,1,2,2,7999,4,1
5,16.0,1,2,2,5500,4,1
4,8.0,1,1,2,2550,4,1
4,8.0,1,1,0,8000,4,2
4,16.0,1,1,0,5800,4,2
3,8.0,0,2,2,2450,4,0
3,16.0,1,2,0,13500,4,2
3,16.0,1,2,2,7800,4,1
1,8.0,1,1,2,3700,4,1
3,8.0,0,1,2,1950,4,0
4,12.0,1,1,0,7399,4,2
2,8.0,1,1,2,4200,0,1
4,8.0,1,0,2,1400,4,1
2,8.0,1,1,2,7000,0,1
3,8.0,0,1,2,2500,4,0
4,12.0,1,1,2,3100,4,1
3,8.0,1,1,2,6000,4,1
4,8.0,1,1,1,1600,4,1
3,4.0,0,0,2,1600,4,0
2,8.0,1,1,2,3500,4,1
3,8.0,1,1,2,7950,4,1
1,8.0,1,1,2,4200,4,1
3,12.0,1,1,2,1800,4,1
4,8.0,0,0,2,1500,4,0
5,8.0,1,1,2,7999,4,1
3,16.0,1,1,2,5300,4,1
2,8.0,1,0,2,4300,4,1
3,8.0,1,1,2,5499,4,1
3,16.0,1,1,0,6700,0,2
2,4.0,0,0,2,1800,4,0
4,8.0,1,1,2,3900,4,1
3,8.0,1,1,1,3900,0,1
2,8.0,1,2,2,2800,0,1
2,16.0,1,2,2,5200,4,1
3,8.0,0,1,2,4500,4,0
2,16.0,1,2,2,6200,4,1
2,16.0,1,2,2,8500,4,1
3,8.0,1,1,2,4300,4,1
3,8.0,0,1,2,2600,4,0
2,8.0,0,1,2,1250,4,0
3,8.0,0,1,2,1950,0,0
2,32.0,1,2,2,8800,4,1
2,8.0,0,2,2,2500,4,0
4,8.0,1,1,0,6999,6,2
3,16.0,1,2,0,14000,4,2
5,8.0,0,2,2,2000,4,0
